X,Y,Name,affiliation,awe_walk(y/n),initial_interview,mode,location,history(y/n),frequency,morphology1,morphology2,phenomenology1,phenomenology2,binary_threshold,binary_surprise,binary_sanctuary,binary_other,description
-71.0863,42.37153,Elm Sentinel,personal,y,n/a,walk,street,n,timeless,nature,plant,wonder,impressive,n,n,n,y,
-71.0909,42.3693,Evergreen Trees,personal,y,n/a,walk,street,n,timeless,nature,plant,mystery,impressive,n,y,n,y,"""intrigue about these two trees; they almost felt out of place"""
-71.0888,42.37021,Evidence of a Storm,personal,y,n/a,walk,street,n,periodic,nature,art/object,mystery,wild,n,n,n,y,"""debris and fallen branches from storm earlier in the week"""
-71.1051,42.35329,Experiencing the Water's Edge,CRA,n,n,walk,waterfront,n,timeless,nature,water,beauty,intimate,n,n,y,n,"""nature- It feels different from other place in Cambridge; it offers a tranquil feeling; away from people; opportunity to recharge; reprieve"""
-71.0949,42.36593,Faucet Bench,personal,n,n/a,walk,park,n,timeless,visual_design,art/object,beauty,ornate,n,n,n,n,public art
-71.1212,42.3921,Favorite Corner Ever,CRA,y,n,walk,street,n,timeless,visual_design,architecture,beauty,impressive,n,n,n,n,"""beauty/visual design- ""favorite corner ever""; one particularly beautiful home on the corner with differing flags that the homeowners hang - loves the 1885ness of the house; can see beautiful fence and post work at other nearby homes; beautiful details on nearby houses; quality of light on the street in the summer is beautiful"""
-71.0814,42.36446,Figure Skating Event at Kendall Sq. Ice Rink,gardener,n,y,walk,park,n,seasonal,collective_effervescence,event,wonder,impressive,n,n,n,n,"""wonder, figure skating"""
-71.1058,42.36652,Flowers growing wild,gardener,n,y,walk,park,n,seasonal,nature,plant,wonder,impressive,n,n,n,n,"""wonder; indian blanket plant going and wildflower patch that was out of control"""
-70.9286,42.47105,Fluff Factory,CRA,n,y,walk,industry/office,n,timeless,epiphany/knowledge,architecture,interconnection,impressive,n,n,n,n,"""interconnection through global distribution"""
-71.1365,42.31186,Forest to Meadow Ecotone,CRA,y,n,walk,park,n,timeless,nature,plant,interconnection,intimate,y,n,n,y,"""awe walk - appreciation of shift from one landscape to another; feeling of interconnection with landscape"""
-71.126,42.37639,Forgotten Souls of Tory Row,personal,y,n/a,bike,street,y,timeless,epiphany/knowledge,art/object,wonder,impressive,n,y,n,n,i was at first inaware of what this installation was then was in awe (maybe in an awful sense) of the history of cambridge
-71.0797,42.36852,Fox Decoration,CRA,y,n,walk,street,n,timeless,visual_design,art/object,wonder,ornate,n,n,n,n,"""something left to be discovered and enjoyed (inexact location)"""
-71.0844,42.36237,Galaxy Park,CRA,n,y,walk,park,n,timeless,nature,green space,wonder,intimate,y,n,n,n,"""pocket parks can be charming; things that you stumble upon
finds these moments or places to be one of the most compelling about others cities → finds that these things make a place memorable"""
-71.1154,42.37853,Gem and Minerals Collection at Harvard Museum of Natural History,personal,n,n/a,walk,educational,n,daily,nature,art/object,beauty,impressive,n,n,n,y,
-71.0798,42.36766,Giant Squash Sculptures at Costa Lopez Taylor Park Community Garden,CRA,y,n,walk,park,n,timeless,visual_design,art/object,mystery,inclusive,n,y,n,n,"""mystery in discovery; wonder and appreciation that this it here to enjoy; interconnection being a part of a public conversation viz-a-viz this art piece
- www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_FullSet.pdf"""
-71.1156,42.37846,Glass Flowers Exhibit at Harvard Museum of Natural History,personal,n,n/a,walk,educational,n,daily,visual_design,art/object,beauty,impressive,n,n,n,n,
-71.1322,42.38292,Glistening Branches,gardener,n,n,walk,street,n,periodic,nature,plant,beauty,novel,n,n,n,n,"""observing branches that were covered in ice and glistening; the water was turning liquid and creating a magical experience"""
-71.1246,42.38153,Gnarled Apple Tree,gardener,n,y,walk,park,y,timeless,nature,plant,wonder,wild,n,n,n,y,"""wonder; gnarled apple tree 
relevant history: ""Twenty-five years ago, Radcliffe underwent a transformation, creating the Radcliffe Institute for Advanced Study. On the last day of September 1999, a group of Radcliffe College officials gathered at midnight beneath the gnarled apple tree in Radcliffe Yard “to toast the end of the 120-year-old institution’s independence from Harvard and the birth of the Institute,” according to the Harvard Crimson.""
https://www.radcliffe.harvard.edu/radcliffe-25"""
-71.1209,42.37323,Golden sculpture at Igor Fokin memorial,gardener,n,y,walk,street,n,timeless,visual_design,art/object,mystery,impressive,n,n,n,y,"""mystery; gold sculpture of puppeteer"""
